회사명,종목코드,업종
다우데이타,032190,기계장비 도매
삼일,032280,도로 화물 운송
한국파마,032300,의약품 제조
롯데관광개발,032350,여행사
케이엠더블유,032500,통신 장비 제조
TJ미디어,032540,영상 및 음향기기 제조
황금에스티,032560,1차 비철금속 제조
피델릭스,032580,반도체 제조
유비케어,032620,소프트웨어 개발
LG유플러스,032640,전기 통신
소프트센,032680,기계장비 도매
삼진,032750,통신 장비 제조
BNGT,032790,기계장비 도매
판타지오,032800,창작 및 예술관련
우리기술,032820,전기 장치 제조
삼성생명,032830,보험
비트컴퓨터,032850,소프트웨어 개발
휴먼엔,032860,"해체, 선별 및 원료 재생"
원익,032940,기계장비 도매
동일기연,032960,전자부품 제조
바이온,032980,음·식료품 도매
제이엠아이,033050,기록매체 복제
제룡전기,033100,전기 장치 제조
디지틀조선,033130,인터넷 정보매개 서비스
엠케이전자,033160,전자부품 제조
시그네틱스,033170,반도체 제조
KH 필룩스,033180,전자부품 제조
모아텍,033200,전자부품 제조
인성정보,033230,컴퓨터 시스템 관리
자화전자,033240,전자부품 제조
체시스,033250,자동차 부품
유나이티드,033270,의약품 제조
코웰패션,033290,의류 소매업
엠투엔,033310,금속 가공
제이씨현시스템,033320,기계장비 도매
좋은사람들,033340,의복 제조
동성화인텍,033500,화학물질 제조
세종공업,033530,자동차 부품
파라텍,033540,특수 목적용 기계 제조
블루콤,033560,영상 및 음향기기 제조
네패스,033640,반도체 제조
케이티앤지,033780,담배 제조
스카이문스테크놀로지,033790,통신 장비 제조
티비씨,033830,텔레비전 방송
무학,033920,알코올 음료
두산에너빌리티,034020,일반 목적용 기계 제조
SBS,034120,텔레비전 방송
LG디스플레이,034220,전자부품 제조
파라다이스,034230,오락
신세계건설,034300,건물 건설
NICE,034310,회사 본부 및 경영 컨설팅
인천도시가스,034590,연료용 가스 제조 및 배관
SK,034730,기타 금융
해성산업,034810,기타 금융
한국토지신탁,034830,신탁 및 집합투자
조아제약,034940,의약품 제조
한국기업평가,034950,사업지원 서비스
지투알,035000,회사 본부 및 경영 컨설팅
그래디언트,035080,무점포 소매
백산,035150,플라스틱제품 제조
프럼파스트,035200,플라스틱제품 제조
강원랜드,035250,오락
골드앤에스,035290,인쇄물 출판
NAVER,035420,인터넷 정보매개 서비스
기산텔레콤,035460,통신 장비 제조
신세계I&C,035510,컴퓨터 시스템 관리
KG이니시스,035600,소프트웨어 개발
솔본,035610,회사 본부 및 경영 컨설팅
바른손이앤에이,035620,방송 컨텐츠 제작
카카오,035720,인터넷 정보매개 서비스
CJ ENM,035760,텔레비전 방송
이지홀딩스,035810,사료 제조
서희건설,035890,건물 건설
JYP Ent.,035900,음반 제작
예림당,036000,인쇄물 출판
아비코전자,036010,전자부품 제조
케이티알파,036030,상품 중개
위지트,036090,특수 목적용 기계 제조
SCI평가정보,036120,서비스
클라우드에어,036170,반도체 제조
지더블유바이텍,036180,기계장비 도매
금화피에스시,036190,전기 및 통신 공사
유니셈,036200,특수 목적용 기계 제조
콘텐트리중앙,036420,방송 컨텐츠 제작
한국가스공사,036460,연료용 가스 제조 및 배관
대성미생물,036480,의약품 제조
SNT홀딩스,036530,기타 금융
SFA반도체,036540,반도체 제조
영풍정밀,036560,일반 목적용 기계 제조
엔씨소프트,036570,소프트웨어 개발
팜스코,036580,곡물가공품 제조
감성코퍼레이션,036620,전문 도매
세종텔레콤,036630,전기 통신
HRS,036640,합성고무 및 플라스틱 제조
KCI,036670,화학제품
코맥스,036690,통신 장비 제조
심텍홀딩스,036710,통신 장비 제조
나이스정보통신,036800,전기 통신
에프에스티,036810,전자부품 제조
솔브레인홀딩스,036830,회사 본부 및 경영 컨설팅
진성티이씨,036890,특수 목적용 기계 제조
주성엔지니어링,036930,특수 목적용 기계 제조
파워넷,037030,전기 장치 제조
파세코,037070,가정용 기기 제조
한국팩키지,037230,종이 제품 제조
YG PLUS,037270,인터넷 정보매개 서비스
인지디스플레,037330,전자부품 제조
성도이엔지,037350,건축기술
EG,037370,토목 건설
우리엔터프라이즈,037400,상품 종합 도매
희림,037440,건축기술
삼지전자,037460,통신 장비 제조
LG헬로비전,037560,텔레비전 방송
광주신세계,037710,종합 소매
쎄니트,037760,1차 철강
엘컴텍,037950,전자부품 제조
제일테크노스,038010,구조용 금속제품 제조
루멘스,038060,반도체 제조
